"","Booted Racket-tail","Brown Inca","Buff-tailed Coronet","Collared Inca","Green-crowned Woodnymph","Gorgeted Sunangel","Green-crowned Brilliant","Purple-bibbed Whitetip","Sparkling Violetear","Speckled Hummingbird","Tawny-bellied Hermit","Tyrian Metaltail","Violet-tailed Sylph"
"Besleria solanoides",4.66666666666667,0,0,0,0,0,0,0,0,1.33333333333333,0,0,2
"Burmeistera cylindrocarpa",0,2,0,0,0,0,0,0,0,0,0,0,0
"Centropogon solanifolius",0,0,0,0,0,0,2,0,0,0,0,0,0
"Columnea mastersonii",0,0,0,0,0,0,0,0,0,0,7,0,0
"Columnea medicinalis",0,0,0,0,0,0,0,0,0,0,2,0,0
"Drymonia teuscheri",0,0,0,0,0,0,0,0,0,0,2,0,0
"Fuchsia macrostigma",0,1,0,0,0,0,0,0,0,0,3,0,0
"Macleania bullata",0,2,0,0,0,0,0,0,0,0,0,0,0
"Macleania recumbens",0,0,0,0,2,0,0,0,0,0,0,0,0
"Macleania stricta",0,0,0,0,0,2,0,0,0,0,0,0,0
"Meriania tomentosa",0,0,15,3,0,1,0,0,0,0,0,1,0
"Palicourea demissa",0,0,0,0,0,0,0,0,0,0,0,0,3
"Psammisia sodiroi",0,0,0,2,0,0,0,0,0,0,0,0,5
"Renealmia sessilifolia",0,3,0,0,0,0,0,0,0,0,0,0,1
"Sarcopera anomala",3,0,0,0,0,0,0,1.5,1,0,0,0,1.5
"Tillandsia complanata",0,0,0,0,0,0,0,0,0,0,0,0,2
